course_code_portal,course_name_portal,professor,lecture_time,classroom,capacity,major_quota,total_applicants,avg_mileage,course_code,scraped_code,course_name,year,semester
CSI3102-02-00,컴퓨터아키텍쳐,김영석,"화8,목6,7",실시간온라인,90.0,63.0,80.0,6.86,CAS3102-01,CSI3102-02,ARCHITECTURE OF COMPUTERS,2022,1
CSI3102-01-00,컴퓨터아키텍쳐,이경우,"월6,7,수6",공학원170E,77.0,56.0,87.0,14.28,CAS3102-01,CSI3102-01,ARCHITECTURE OF COMPUTERS,2023,1
CSI3102-02-00,컴퓨터아키텍쳐,김영석,"화8,9/목8",과B130/과B133,90.0,63.0,120.0,14.2,CAS3102-01,CSI3102-02,ARCHITECTURE OF COMPUTERS,2023,1
CSI3102-01-00,컴퓨터아키텍쳐,이시윤,"월8,수7,8",공D504,90.0,63.0,58.0,14.31,CAS3102-01,CSI3102-01,ARCHITECTURE OF COMPUTERS,2024,1
CSI3102-02-00,컴퓨터아키텍쳐,김영석,"화8,9/목14",공D504/동영상(중복수강불가),90.0,63.0,146.0,19.72,CAS3102-01,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1
CAS3102-01-00,컴퓨터아키텍쳐,김영석,"수3,금3,4",공D504,80.0,64.0,119.0,19.94,CAS3102-01,CAS3102-01,ARCHITECTURE OF COMPUTERS,2025,1
CAS3102-01-00,컴퓨터아키텍쳐,이경우,"월5,6/수6",공D504/동영상콘텐츠,80.0,64.0,35.0,8.89,CAS3102-01,CAS3102-01,ARCHITECTURE OF COMPUTERS,2026,1
CSI3102-01-00,컴퓨터아키텍쳐,이경우,"화2,3,목2",실시간온라인,90.0,63.0,79.0,16.04,CAS3102-02,CSI3102-01,ARCHITECTURE OF COMPUTERS,2022,1
CSI3102-02-00,컴퓨터아키텍쳐,김영석,"화8,목6,7",실시간온라인,90.0,63.0,80.0,6.86,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2022,1
CSI3102-01-00,컴퓨터아키텍쳐,이경우,"월6,7,수6",공학원170E,77.0,56.0,87.0,14.28,CAS3102-02,CSI3102-01,ARCHITECTURE OF COMPUTERS,2023,1
CSI3102-02-00,컴퓨터아키텍쳐,김영석,"화8,9/목8",과B130/과B133,90.0,63.0,120.0,14.2,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2023,1
CSI3102-01-00,컴퓨터아키텍쳐,이시윤,"월8,수7,8",공D504,90.0,63.0,58.0,14.31,CAS3102-02,CSI3102-01,ARCHITECTURE OF COMPUTERS,2024,1
CSI3102-02-00,컴퓨터아키텍쳐,김영석,"화8,9/목14",공D504/동영상(중복수강불가),90.0,63.0,146.0,19.72,CAS3102-02,CSI3102-02,ARCHITECTURE OF COMPUTERS,2024,1
CAS3102-02-00,컴퓨터아키텍쳐,박광현,"수3,금3,4",공학원170E,80.0,64.0,56.0,7.07,CAS3102-02,CAS3102-02,ARCHITECTURE OF COMPUTERS,2025,1
CAS3102-02-00,컴퓨터아키텍쳐,박광현,"월5,6,수6",공D408,75.0,60.0,122.0,22.13,CAS3102-02,CAS3102-02,ARCHITECTURE OF COMPUTERS,2026,1
CSI3109-01-00,오토메타형식언어,한요섭,"화3,4,목3",공D504,90.0,63.0,89.0,6.33,CAS3109-01,CSI3109-01,AUTOMATA AND FORMAL LANGUAGES,2023,1
CSI3109-01-00,오토메타형식언어,한요섭,"화2,목2,3",공D504,90.0,63.0,91.0,7.24,CAS3109-01,CSI3109-01,AUTOMATA AND FORMAL LANGUAGES,2024,1
CAS3109-01-00,오토마타형식언어,한요섭,"화8,9,목7",공D504,90.0,72.0,69.0,8.12,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2025,1
CAS3109-01-00,오토마타형식언어,한요섭,"화4,목5,6",공D504,95.0,76.0,70.0,6.36,CAS3109-01,CAS3109-01,AUTOMATA AND FORMAL LANGUAGES,2026,1
CSI4116-01-00,컴퓨터비전,김선주,"화3,4,목3",실시간온라인,100.0,80.0,144.0,27.55,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,1
CSI4116-01-00,컴퓨터비전,황성재,"수4,금3,4",공D404,95.0,76.0,123.0,22.22,CAS3116-01,CSI4116-01,COMPUTER VISION,2022,2
CSI4116-01-00,컴퓨터비전,김선주,"화2,목5,6",공D504,80.0,72.0,115.0,25.9,CAS3116-01,CSI4116-01,COMPUTER VISION,2023,1
CSI4116-01-00,컴퓨터비전,황성재,"화2,목2,3",공학원170E,80.0,64.0,117.0,25.42,CAS3116-01,CSI4116-01,COMPUTER VISION,2023,2
CSI4116-01-00,컴퓨터비전,김선주,"화3,4,목4",공D504,90.0,72.0,87.0,14.24,CAS3116-01,CSI4116-01,COMPUTER VISION,2024,1
CSI4116-01-00,컴퓨터비전,황성재,"월7,수3,4",공D504,90.0,72.0,127.0,26.08,CAS3116-01,CSI4116-01,COMPUTER VISION,2024,2
CAS3116-01-00,컴퓨터비젼,김선주,"월5,6,수6",공D504,80.0,64.0,112.0,15.49,CAS3116-01,CAS3116-01,COMPUTER VISION,2025,1
CAS3116-01-00,컴퓨터비젼,황성재,"화4,목5,6",공D504,95.0,76.0,179.0,31.39,CAS3116-01,CAS3116-01,COMPUTER VISION,2025,2
CAS3116-01-00,컴퓨터비젼,김선주,"화8,9,목7",공D504,95.0,76.0,80.0,12.56,CAS3116-01,CAS3116-01,COMPUTER VISION,2026,1
